Thee One that Got Away, Katy Perry - Pop
Let It Be, Beatles - Pop/Rock
Turning Table, Adele - Pop
Creep, Radiohead - Alternative rock
I Say a Little Prayer, Aretha Franklin - Soul
Shekini, P - Afropop
Toxic, Britney Spears - Pop
Beware, Big Sean - Hip Hop/Rap
Ok Ok, Kanye West - Hip Hop/Rap
Higher Ground,Stevie Wonder - Pop
Losing My Religion, REM - Rock
Something, Beatles - Rock
Pov, Ariana Grande - Pop
Liberian Girl, Michael Jackson - Rock
Feel Good Inc, Gorillaz - Rock
Praise God, Kanye West - Hip Hop/Rap
90210, Travis Scott - Hip Hop/Rap
Ric Flair Drip, Offset - Hip Hop/Rap
Bring Me To Life, Evanescence -  alternative/indie/rock
Sympathy for the Devil, Rolling Stones - Rock
Life on Mars?, David Bowie - Rock
All Of The Lights, Kanye West - Hip Hop/Rap
Soco, StartBoy - Afropop
Futsal Shuffle, Lil Uzi Vert - Hip Hop/Rap
Earth Song, Michael Jackson - Earth Song
Payphone, Maroon 5 - Pop
Black Skinhead, Kanye West - Hip Hop/Rap
I Want You Back, Jackson 5 - Rock
IMY2, Drake -Hip Hop/Rap
S&M, Rihanna - Pop
Maps Yeah Yeah Yeahs - R&B/Pop
Hurricane, Kanye West - Hip Hop/Rap
Material Girl, Madonna - Pop
Foot Fungus, Ski Mask The Slump - Hip Hop/Rap
Blowin’ in the Wind, Bob Dylan - Folk
Dumebi, Rema - Afropop
In My Life, Beatles - Rock
Poker Face, Lady Gaga - Pop
Boom Boom Pow, Black Eyed Peas - Pop
99 Problems, Jay-Z - Hip Hop/Rap
Position, Ariana Grande - Pop
Wonderwall, Oasis - alternativa/indie
I Will Always Love You, Whitney Houston - Soul/Pop
Gimme That, Chris Brown - R&B/Hip Hop
You Don’t Do it For Me Anymore, Demi Lovato - Soul
Disturbia, Rihanna - Pop
7 Rings, Ariana Grande - Pop
All My Friends, LCD Soundsystem - Dance/ Electronic
Firework, Katy Perry - Pop
Blank Space, Taylor Swift - Pop
Moon, Kanye West - Hip Hop/Rap
I Gotta Feeling, Black Eyed Peas - Pop
Bad, Michael Jackson - Rock
Rolling in the Deep, Adele - Pop/Blues
What’d I Say, Ray Charles - Pop
You Right, Doja Cat - Pop/Hip Hop
Back to Black, Amy Winehouse - Rock/Soul
On the Low, Burna Boy - Afropop
76.  “I Walk the Line,” Johnny Cash - 1956
Come & Get It, Selena Gomez - Pop
Buttons, The Pussycat Dolls - Pop
Formation, Beyonce - Pop
Only Girl, Rihanna - Pop
Suspicious Minds, Elvis - Rock
All Too Well, Taylor Swift - Country/Pop
Homecoming, Lil Uzi Vert - Hip Hop/Rap
Way 2 Sexy, Drake - R&B/Hip Hop
Traitor- Olivia Rodrigo - Pop
Wait a Minute!, WILLOW - Alternative/Indie
No Complaints, Metro Boomin, Offset, Drake - Hip Hop/Rap
Heather, Conan Gray - Pop
Think Of Me, Phantom of the Opera - Classical
Driver’s License, Olivia Rodrigo - Pop
Up, cardi B - Hip Hop/Rap
My Humps, Black Eyed Peas -Pop
Work It, Missy Elliott - Hip Hop/Rap
Like a Prayer, Madonna - Pop
Female Energy, WILLOW - Alternative/Indie
Alone Again, The Weeknd - R&N/Soul
Swimming Pools, Kendrick Lamar - Hip Hop/Rap
Best Part, H.E.R. - Soul
Loyal, Chris Brown - Hip Hop
Mirror, Lil Wayne - Hip Hop/Rap/Pop
Girls Need Love, Summer Walker - R&N/Soul
Weak, SWV - R&B/Soul
Moonlight Sonata, Beethoven - Classical
Paper Planes, M.I.A. - Alternative/Indie
Rumors, Lizzo - Pop
Alright, Kendrick Lamar - Hip Hop/Rap
4 Minutes, Madonna - Pop
Billie Jean, Michael Jackson - Rock
No type, Rae Sremmurd - Hip Hop/Rap
Redemption Song, Bob Marley - Reggae
I Gotta Feeling, Black Eyed Peas - Pop
Come Thru, Summer Walker - R&B/Soul
Constantly, Immature - R&B/Soul
Misery Business, Paramore - Alternative Rock
Motive, Arianna Grande - Pop
Apologize, Timbaland, OneRepublic - Rock
SLOW DANCING IN THE DARK, joji - R&B/Soul
Royals, Lorde - Pop
Dirty Diana, Michael Jackson - Rock
Candy Shop, 50 Cent - Hip Hop/Rap
25.  “Runaway,” Kanye West - 2010
Fue major, Kali Uchis - Pop
INDUSTRY BABY, Lil nas X - Hip Hop/Rap
Here Come Sun, The Beatles - Rock
’Heroes’, David Bowie - Rock
Preach, Drake - Hip Hop/R&B
Gimme More, Britney Sprears - Pop
Don't Start Now, Dua Lipa - Pop
Dancing on My Own, Robyn - Dance/Electronic
20 Min, Lil Uzi Vert - Hip Hop/rap
Imagine, John Lennon. - Rock
Change, 2Pac - Hip Hop/Rap
Purple Rain, Prince - Rock
Bohemian Rhapsody, Queen - Rock
Crazy in Love, Beyonce - Pop
Leave The Door Open, Bruno Mars - R&B/Soul
Survivor, Destiny’s Child - Pop/R&B/Soul
Human Nature, Michael Jackson - Rock
Telepatía, Kali Uchis - Pop
Body, Loud Luxury -  Electronic dance
Peaches, Justin Bieber - Pop
Los Pollos Hermanos, Knucks - Hip Hop/Rap
Rules, Doja Cat - Pop
Hey Ya!, Outkast - Funk
When I Grow Up, The Pussycat Dolls - Pop
Why don’t you love me, Beyonce - Soul/Pop
Get Your Freak On, Missy Elliott - Pop/Hip Hop
MONTERO, Lil Nas X - Hip Hop/Rap
Happier, Olivia Rodrigo - Pop
The Beach, The Neighbourhood - Alternative/Indie
Womanizer, Britney Sprears - Pop
Smells Like Teen Spirit, Nirvana - Grunge/Rock
Dark Horse, Katy Perry - Pop
Jealous, Labrinth - Soul
Respect, Aretha Franklin - Soul
Baby Got Back, Eazy - Hip Hop/Rap
Your Power, Billie Eilish - Alternative/Indie
